,query,facet,question,reference,t5-candidate,ru-candidate,answer1,answer2,answer3,answer4
72,quit smoking,how can hypnosis help someone quit smoking?,are you wondering how other people have quit smoking,yes i m wondering how other people had quit smoking,no i want to know how hypnosis can help people quit smoking,no i want to know how hypnosis can help people quit smoking,how can hypnosis help someone quit smoking?,yes i m wondering how other people had quit smoking,no i want to know how hypnosis can help people quit smoking,no i want to know how hypnosis can help people quit smoking
73,kcs,"find information on kcs energy, inc., and their merger with petrohawk energy corporation.",what entity are you referring to with this acrocym,kcs energy,i am referring to kcs energy inc. and their merger with petrohawk energy corporation,petrohawk energy corporation,kcs energy,i am referring to kcs energy inc. and their merger with petrohawk energy corporation,petrohawk energy corporation,"find information on kcs energy, inc., and their merger with petrohawk energy corporation."
74,university of phoenix,who are the main online competitors of the university of phoenix?,are you looking for reviews of the university of phoenix,no i want to know who the comeptitors are,no i am looking for the online competitors,no i am looking for the main online competitors,no i am looking for the online competitors,no i am looking for the main online competitors,who are the main online competitors of the university of phoenix?,no i want to know who the comeptitors are
75,lipoma,find pictures of lipoma tumors.,are you looking for the definition to lipoma,no i want pictures of lipoma tumors,no i want pictures of lipoma tumors,no i want pictures of lipoma tumors,no i want pictures of lipoma tumors,no i want pictures of lipoma tumors,no i want pictures of lipoma tumors,find pictures of lipoma tumors.
76,kansas city mo,find the kansas city chiefs homepage.,would you like to see a listing for hotels in kansas city,no the kansas city chiefs,no i want to find the kansas city chiefs homepage,no i want to see the kansas city chief homepage,no the kansas city chiefs,no i want to see the kansas city chief homepage,no i want to find the kansas city chiefs homepage,find the kansas city chiefs homepage.
77,tv on computer,get technical help for watching tv programs on the computer.,do you want to purchase streaming services,no i am looking for technical help,no i want technical help for watching tv programs on the computer,no i want technical help for watching tv programs on the computer,get technical help for watching tv programs on the computer.,no i want technical help for watching tv programs on the computer,no i want technical help for watching tv programs on the computer,no i am looking for technical help
78,pork tenderloin,how do i grill a pork tenderloin on a gas grill?,how would you like to cook your pork tenderloin,yes i want to know how to grill it on a gas grill,i would like to grill it on a gas grill,i want to grill one on a gas grill,yes i want to know how to grill it on a gas grill,i want to grill one on a gas grill,how do i grill a pork tenderloin on a gas grill?,i would like to grill it on a gas grill
79,universal animal cuts reviews,sites that sell universal animal cuts that include product reviews.,would you like to see the top reviews for universal animal cuts,yes,no i want to see sites that sell universal animal cuts that include product reviews,yes i would like to see reviews for universal animal cuts,yes i would like to see reviews for universal animal cuts,no i want to see sites that sell universal animal cuts that include product reviews,sites that sell universal animal cuts that include product reviews.,yes
180,vanuatu,"find photos from the \""survivor 9, vanuatu\"" tv reality series.",do you wish to know the climate of vanuatu,no i want to know more about a person named vanuatu,no i want to see photos from the tv reality series'survivor 9 vanuatu',"no i want photos from the tv reality series survivor 9, vanuatu","no i want photos from the tv reality series survivor 9, vanuatu",no i want to see photos from the tv reality series'survivor 9 vanuatu',"find photos from the \""survivor 9, vanuatu\"" tv reality series.",no i want to know more about a person named vanuatu
181,iron,find dealers in irons for clothing.,would you like to know how iron is mined,no i want dealers of clothes irons,no i want to find dealers in irons for clothing,no i want to find dealers in iron clothing,no i want dealers of clothes irons,find dealers in irons for clothing.,no i want to find dealers in irons for clothing,no i want to find dealers in iron clothing
182,euclid,find information on the greek mathematician euclid.,do you want to know related people,no i only want to know about one particular person,no i want to know about the greek mathematician,no i want information on the greek mathematician euclid,no i want to know about the greek mathematician,no i only want to know about one particular person,find information on the greek mathematician euclid.,no i want information on the greek mathematician euclid
183,tv on computer,looking for information on how to watch television programming on your computer.,do you want to know what sites you can watch tv on the computer at,yes please,no i want to know how to watch tv on the computer,yes i want to know how to watch tv on your computer,yes please,yes i want to know how to watch tv on your computer,no i want to know how to watch tv on the computer,looking for information on how to watch television programming on your computer.
184,source of the nile,information on the feud between speke and burton over the discovery of the source of the nile river,is there any specific information about the river that would interest you,the feud between speke and burton,no i want to know about the feud between speke and burton,no i want to know about the feud between speke and burton,the feud between speke and burton,information on the feud between speke and burton over the discovery of the source of the nile river,no i want to know about the feud between speke and burton,no i want to know about the feud between speke and burton
185,tornadoes,find videos and pictures of tornadoes.,are you wondering where tornadoes are more likely,no i want to find photos and videos of actual tornados,no i want to see videos and pictures of tornadoes,no i want videos and pictures of tornadoes,no i want to see videos and pictures of tornadoes,find videos and pictures of tornadoes.,no i want to find photos and videos of actual tornados,no i want videos and pictures of tornadoes
186,gmat prep classes,what\'s the difference between the gre and the gmat?,would you like to see the most effective methods of gmat prep,no what is the difference between gre and gmat,no i want to know the difference between the gre and the gmat,no i want to know what is the difference between the gre and gmat,no i want to know what is the difference between the gre and gmat,no what is the difference between gre and gmat,what\'s the difference between the gre and the gmat?,no i want to know the difference between the gre and the gmat
187,arkansas,provide arkansas tourist information.,do you want to go to arkansas,yes for tourism,no i want tourist information,no i want tourist information,no i want tourist information,provide arkansas tourist information.,yes for tourism,no i want tourist information
188,black history,find activities for children for black history month.,do you want to know famous black people,no im looking for information about activities for children during black history month,no i want to find activities for children for black history month,no i want activities for children for black history month,find activities for children for black history month.,no i want activities for children for black history month,no i want to find activities for children for black history month,no im looking for information about activities for children during black history month
189,universal animal cuts reviews,find testimonials of universal animal cuts nutritional supplement.,would you like to see the lowest reviews for universal animal cuts,i would like to see all reviews for universal animal cuts,no i want testimonials of universal animal cuts nutritional supplement,no i want testimonials of universal animal cuts nutritional supplement,no i want testimonials of universal animal cuts nutritional supplement,find testimonials of universal animal cuts nutritional supplement.,no i want testimonials of universal animal cuts nutritional supplement,i would like to see all reviews for universal animal cuts
190,pacific northwest laboratory,information about the scientific user facilities of the laboratory,are you looking for any specific facilities,yes the scientific user facilities,no i am looking for information about the scientific user facilities of the laboratory,yes i am looking for scientific user facilities of the laboratory,no i am looking for information about the scientific user facilities of the laboratory,yes the scientific user facilities,yes i am looking for scientific user facilities of the laboratory,information about the scientific user facilities of the laboratory
191,pacific northwest laboratory,types of research projects performed at pnl,are you looking for a specific representative in relation to the company,no i want to know about their research projects,no i am looking for research projects at pnl,no i am looking for research projects performed at pnl,no i am looking for research projects at pnl,types of research projects performed at pnl,no i want to know about their research projects,no i am looking for research projects performed at pnl
192,pocono,find information about the split rock resort in the poconos.,would you like to know more about pocono raceway,no,no i want to know about the split rock resort in the poconos,yes the split rock resort in the poconos,yes the split rock resort in the poconos,no i want to know about the split rock resort in the poconos,no,find information about the split rock resort in the poconos.
193,rice,"find recipes for rice, for example fried rice or rice pudding.",are you looking for a specific recipe,yes i am looking for rice recipes,no i want recipes for rice,yes fried rice or rice pudding,yes fried rice or rice pudding,"find recipes for rice, for example fried rice or rice pudding.",no i want recipes for rice,yes i am looking for rice recipes
194,vldl levels,how are vldl levels determined?,vldl and ldl are both considered types of bad cholesterol,ok but i need to know how are the vldl levels determined,i dont know,no i want to know how they are determined,i dont know,no i want to know how they are determined,how are vldl levels determined?,ok but i need to know how are the vldl levels determined
195,cass county missouri,"what was the 2008 budget for cass county, mo?",are you looking for a specific part of missouri,no i want to know the 2008 budget for cass county mo,no i am looking for the budget for cass county mo,no i am looking for the 2008 budget for cass county mo,no i want to know the 2008 budget for cass county mo,"what was the 2008 budget for cass county, mo?",no i am looking for the 2008 budget for cass county mo,no i am looking for the budget for cass county mo
196,culpeper national cemetery,information regarding who can be buried at culpeper national cemetery,what would you like to know about culpeper national cemetary,i would like to know who can be buried at culpeper national cemetary,i would like to know who can be buried at culpeper national cemetery,i want to know who can be buried at culpeper national cemetary,information regarding who can be buried at culpeper national cemetery,i would like to know who can be buried at culpeper national cemetery,i would like to know who can be buried at culpeper national cemetary,i want to know who can be buried at culpeper national cemetary
197,vanuatu,i need travel and tourism information for vanuatu.,are you looking for flights to vanuatu,i am looking for travel and tourism information for vanuatu,no i am looking for travel and tourism information for vanuatu,no i want travel and tourism information for vanuatu,i need travel and tourism information for vanuatu.,i am looking for travel and tourism information for vanuatu,no i want travel and tourism information for vanuatu,no i am looking for travel and tourism information for vanuatu
198,wedding budget calculator,"i\'m looking for information on planning a wedding shower, like theme ideas and budget guidelines.",did you want to see examples of budget weddings,no i want info on planning a wedding shower like theme ideas and budget guidelines,no i want to know how to plan a wedding shower,no i want to know how to plan a wedding shower,no i want info on planning a wedding shower like theme ideas and budget guidelines,no i want to know how to plan a wedding shower,"i\'m looking for information on planning a wedding shower, like theme ideas and budget guidelines.",no i want to know how to plan a wedding shower
199,internet phone service,how much does internet phone service cost?,do you need information about voip phone services,yes pricing information,no i need to know how much,yes i want to know how much internet phone service costs,how much does internet phone service cost?,no i need to know how much,yes i want to know how much internet phone service costs,yes pricing information
100,espn sports,i want to find nba basketball standings.,do you want espn sports corporate information,no im looking for nba basketball standings,no i want to find nba basketball standings,no i want to find nba basketball standings,no i want to find nba basketball standings,no im looking for nba basketball standings,no i want to find nba basketball standings,i want to find nba basketball standings.
101,cass county missouri,"find demographic information about cass county, mo.",there are some interesting historical facts about cass county shall i show them to you,what are the demographics of cass county,no i want demographic information about cass county mo,i want demographic information about cass county mo,no i want demographic information about cass county mo,what are the demographics of cass county,"find demographic information about cass county, mo.",i want demographic information about cass county mo
102,korean language,what are some common korean phrases?,are you wondering who speaks the korean language,no i am trying to find common phrases in the korean language,no i want to know what common korean phrases are,no i am looking for common korean phrases,no i am looking for common korean phrases,what are some common korean phrases?,no i want to know what common korean phrases are,no i am trying to find common phrases in the korean language
103,pocono,find information about the pocono raceway in pennsylvania.,what would you like to learn about the poconos,i want information about the raceway in pennsyvania named pocono raceway,i would like information about the pocono raceway in pennsylvania,i would like information about the pocono raceway in pennsylvania,i want information about the raceway in pennsyvania named pocono raceway,i would like information about the pocono raceway in pennsylvania,find information about the pocono raceway in pennsylvania.,i would like information about the pocono raceway in pennsylvania
104,403b,who is eligible for a 403b plan?,what year do you want to begin contributing 403b,i need to first know if im eligible,i dont know,i want to know who is eligible for a plan,i dont know,i want to know who is eligible for a plan,who is eligible for a 403b plan?,i need to first know if im eligible
105,cheap internet,find me some providers of free wireless internet access.,how do you know if your internet service is inexpensive,its affordable compared to the national average,no i want to know about free wireless internet access,i dont know,no i want to know about free wireless internet access,find me some providers of free wireless internet access.,its affordable compared to the national average,i dont know
106,indexed annuity,what is an indexed annuity? what are their advantages and disadvantages? what kinds of indexed annuities are there?,would you like to purchase a indexed annuity,no i would like a definition of what an indexed annuity and the different types as well as the pros and cons of them,no i want to know what advantages and disadvantages they have,yes i want to know what their advantages and disadvantages are,no i want to know what advantages and disadvantages they have,no i would like a definition of what an indexed annuity and the different types as well as the pros and cons of them,yes i want to know what their advantages and disadvantages are,what is an indexed annuity? what are their advantages and disadvantages? what kinds of indexed annuities are there?
107,sit and reach test,how is this test used in physical rehabilitation treatment?,are you trying to determine how well you did,no i have a more general testrelated question,no i want to know how this test is used in physical rehabilitation treatment,no i want to know how this test was used in physical rehabilitation,no i want to know how this test is used in physical rehabilitation treatment,no i have a more general testrelated question,no i want to know how this test was used in physical rehabilitation,how is this test used in physical rehabilitation treatment?
108,gmat prep classes,i\'m looking for some free sample gmat exams to practice on.,do you feel unprepared for the gmat test,yes thats why id like some sample exams,no i want to practice free sample gmat exams,no i am looking for free sample gmat exams,no i want to practice free sample gmat exams,no i am looking for free sample gmat exams,i\'m looking for some free sample gmat exams to practice on.,yes thats why id like some sample exams
109,to be or not to be that is the question,find famous quotes from shakespeare\'s plays.,are you interested in the quote from shakespeare or the quote used in another context,i want all quotes from shakespeares plays,no i want to know the quotes from shakespeares plays,i want to find famous quotes from shakespeare plays,i want to find famous quotes from shakespeare plays,find famous quotes from shakespeare\'s plays.,i want all quotes from shakespeares plays,no i want to know the quotes from shakespeares plays
110,butter and margarine,"what is the difference in regards to cholesterol, calorie count, and other nutritional qualities.",are you interested in the the nutritional value of butter and margarine,yes,"no i want to know what the difference is in regards to cholesterol, calorie count and other nutritional qualities","yes i am interested in the difference in cholesterol, calorie count and other nutritional qualities","no i want to know what the difference is in regards to cholesterol, calorie count and other nutritional qualities",yes,"yes i am interested in the difference in cholesterol, calorie count and other nutritional qualities","what is the difference in regards to cholesterol, calorie count, and other nutritional qualities."
111,hobby stores,what is the website for hobbytown usa?,why type of hobby  arts and crafts or sports,i dont know,i dont know,i want to know the website for hobbytown usa,i dont know,what is the website for hobbytown usa?,i want to know the website for hobbytown usa,i dont know
112,forearm pain,what are some exercises recommended for forearm pain?,does your forearm hurt from twisting,no i want information about forearm exercises for forearm pain,no i want to know what exercises are recommended for forearm pain,no i want to know what exercises are recommended for forearm pain,no i want information about forearm exercises for forearm pain,what are some exercises recommended for forearm pain?,no i want to know what exercises are recommended for forearm pain,no i want to know what exercises are recommended for forearm pain
113,cheap internet,find me some providers of free wireless internet access.,are you wondering where cheap internet is,not just cheap i want to find free wireless providers,no i want to know about free wireless internet access,no i am looking for free wireless internet providers,no i am looking for free wireless internet providers,find me some providers of free wireless internet access.,not just cheap i want to find free wireless providers,no i want to know about free wireless internet access
114,angular cheilitis,what is the common name for angular cheilitis?,are you looking for websites that describe angular cheilits,i am looking for websites that describe its common name,no i want to know the common name of angular cheilitis,no i am looking for the common name of angular cheilitis,what is the common name for angular cheilitis?,no i am looking for the common name of angular cheilitis,no i want to know the common name of angular cheilitis,i am looking for websites that describe its common name
115,diversity,how is workplace diversity achieved and managed?,are you looking for a specific content related to diversity,yes i am looking for information on diversity and the workplace,no i want to know how workplace diversity is achieved and managed,no i want to know how workplace diversity is achieved and managed,no i want to know how workplace diversity is achieved and managed,yes i am looking for information on diversity and the workplace,no i want to know how workplace diversity is achieved and managed,how is workplace diversity achieved and managed?
116,joints,find information about joint pain and how to treat it.,are you experiencing joint issues,no i would like info about symtoms and treatment for joint pain,no i am looking for information on joint pain and how to treat it,yes i want to know how to treat it,no i would like info about symtoms and treatment for joint pain,yes i want to know how to treat it,no i am looking for information on joint pain and how to treat it,find information about joint pain and how to treat it.
117,civil right movement,what was martin luther king jr\'s contribution to the us civil rights movement?,do you want the history of the civil right movement,yes specifically that pertaining to martin luther king jr,no i want to know what martin luther king jrs contribution to the us civil rights movement,no i want to know martin luther king jrs contribution to the us civil rights movement,what was martin luther king jr\'s contribution to the us civil rights movement?,no i want to know martin luther king jrs contribution to the us civil rights movement,no i want to know what martin luther king jrs contribution to the us civil rights movement,yes specifically that pertaining to martin luther king jr
118,source of the nile,map of the nile river basin,would you like to know what the nile is composed of,no id just like a map of its basin,no i want to know the source of the nile river basin,no i want a map of the nile river basin,no i want a map of the nile river basin,no i want to know the source of the nile river basin,map of the nile river basin,no id just like a map of its basin
119,rice,find the homepage of rice university.,are you looking for a specific type of rice,no rice university,no i am looking for the homepage of the university,no i am looking for the homepage of the university,find the homepage of rice university.,no i am looking for the homepage of the university,no i am looking for the homepage of the university,no rice university
120,barbados,find the barbados underground homepage.,are you looking for a specific website,yes,no i am looking for the barbados underground homepage,yes the barbados underground homepage,yes,yes the barbados underground homepage,no i am looking for the barbados underground homepage,find the barbados underground homepage.
121,barbados,what does the barbados flag look like?,are you interested in facts about barbados,no i only need to know the design of the barbados flag,no i want to know what the barbados flag looks like,yes what the barbados flag looks like,yes what the barbados flag looks like,no i only need to know the design of the barbados flag,what does the barbados flag look like?,no i want to know what the barbados flag looks like
122,atypical squamous cells,what do atypical squamous cells mean on a pap smear test?,are you interested in a desciption of aytypical squamous cells,yes and it must be related to pap smear tests,no i want to know what atypical squamous cells mean on a pap smear test,no i want to know what they mean on a pap smear test,no i want to know what atypical squamous cells mean on a pap smear test,no i want to know what they mean on a pap smear test,yes and it must be related to pap smear tests,what do atypical squamous cells mean on a pap smear test?
123,atypical squamous cells,how often may atypical squamous cells predict cervical cancer?,are you interested in atypical squamous cells in a test result,yesand if they can predict cancer,no i want to know how often they predict cervical cancer,no i want to know how often they predict cervical cancer,how often may atypical squamous cells predict cervical cancer?,no i want to know how often they predict cervical cancer,no i want to know how often they predict cervical cancer,yesand if they can predict cancer
124,von willebrand disease,what is von willebrand disease?,are you looking for specific information about von willebrand disease,yes,no i want to know what is von willebrand disease,yes i am looking for von willebrand disease,yes i am looking for von willebrand disease,no i want to know what is von willebrand disease,what is von willebrand disease?,yes
125,trombone for sale,good places to sell a used trombone,are you looking for a place to sell a used trombone,yes,no i am looking for good places to sell a used trombone,yes good places to sell a used trombone,no i am looking for good places to sell a used trombone,yes,good places to sell a used trombone,yes good places to sell a used trombone
126,flame designs,find pictures of flames and fire.,do you want black and white or colored designs,i want flame designs,no i want pictures of flames and fire,i want pictures of flames and fire,no i want pictures of flames and fire,find pictures of flames and fire.,i want pictures of flames and fire,i want flame designs
127,the secret garden,find reviews of the book the secret garden.,are you interested in gardening,not at all i want reviews of the book the secret garden,no i want reviews of the book,no i want reviews of the book the secret garden,no i want reviews of the book,find reviews of the book the secret garden.,not at all i want reviews of the book the secret garden,no i want reviews of the book the secret garden
128,gmat prep classes,what\'s the difference between the gre and the gmat?,would you like to see a price range for gmat prep classes,no i would like to know the difference between gre and the gmat,no i want to know the difference between the gre and the gmat,no i want to know what the difference is between the gre and gmat,no i would like to know the difference between gre and the gmat,no i want to know the difference between the gre and the gmat,no i want to know what the difference is between the gre and gmat,what\'s the difference between the gre and the gmat?
129,joints,find information about joint pain and how to treat it.,would you like to know the various diseases of the joints,can you show me treatments for joint pain,no i want to know how to treat joint pain,no i want information about joint pain and how to treat it,can you show me treatments for joint pain,find information about joint pain and how to treat it.,no i want to know how to treat joint pain,no i want information about joint pain and how to treat it
130,vanuatu,i need travel and tourism information for vanuatu.,is your question about tourism in vanuatu,yes,yes,yes i need travel and tourism information,yes,yes,yes i need travel and tourism information,i need travel and tourism information for vanuatu.
131,black history,find names of famous african american inventors.,are you looking for black history books,yes i am,no i am looking for names of famous african american inventors,no i am looking for names of famous african american inventors,yes i am,no i am looking for names of famous african american inventors,find names of famous african american inventors.,no i am looking for names of famous african american inventors
132,gmat prep classes,i\'d like to find some tips to help me do well on the gmat.,are you looking for a specific web site,i am looking for information on the gmat test to prepare,no i want to know how to do well on the gmat,no i want to know how to do well on the gmat,i am looking for information on the gmat test to prepare,no i want to know how to do well on the gmat,i\'d like to find some tips to help me do well on the gmat.,no i want to know how to do well on the gmat
133,tornadoes,find information about forecasting tornadoes.,are there any specific media type on your mind shall i play a video of tornadoes,yes id like information on how they forecast tornadoes,no i want to know about forecasting tornadoes,no i want to know about forecasting tornadoes,yes id like information on how they forecast tornadoes,find information about forecasting tornadoes.,no i want to know about forecasting tornadoes,no i want to know about forecasting tornadoes
134,raised gardens,what kind of wood should be used to build a raised garden bed?,is this in reference to flowers or vegetables,i dont know,no i want to know what wood should be used to build a raised garden bed,i want to know what kind of wood should be used to build a raised garden bed,i dont know,i want to know what kind of wood should be used to build a raised garden bed,what kind of wood should be used to build a raised garden bed?,no i want to know what wood should be used to build a raised garden bed
135,grilling,find tips on grilling fish.,are you interested in grilling a specefic food,yes grilled fish,no i want tips on grilling fish,no i want tips on grilling fish,yes grilled fish,no i want tips on grilling fish,find tips on grilling fish.,no i want tips on grilling fish
136,dog heat,what is the effect of excessive heat on dogs?,do you need directions to your local vet,no i would like to know the effects of excessive heat on dogs,no i want to know the effect of excessive heat on dogs,no i want to know the effect of excessive heat on dogs,no i want to know the effect of excessive heat on dogs,no i want to know the effect of excessive heat on dogs,what is the effect of excessive heat on dogs?,no i would like to know the effects of excessive heat on dogs
137,pacific northwest laboratory,home page of the pacific northwest national laboratory,do you need the address or location for the company,no the homepage,no i need the homepage of the pacific northwest national laboratory,no i need the homepage of the pacific northwest national laboratory,home page of the pacific northwest national laboratory,no the homepage,no i need the homepage of the pacific northwest national laboratory,no i need the homepage of the pacific northwest national laboratory
138,tornadoes,what were the deadliest tornadoes in history?,are you wondering where tornadoes are more likely,no i want to know which tornadoes have caused the most deaths,no i want to know the deadliest tornadoes in history,no i am looking for the deadliest tornadoes in history,no i am looking for the deadliest tornadoes in history,no i want to know which tornadoes have caused the most deaths,what were the deadliest tornadoes in history?,no i want to know the deadliest tornadoes in history
139,pocono,find general information on tourist activities in pennsylvania\'s pocono mountains.,what would you like to do in the poconos,take a tour,i would like general information on tourist activities in the pocono mountains,i want general information on tourist activities in the pocono mountains,i would like general information on tourist activities in the pocono mountains,i want general information on tourist activities in the pocono mountains,find general information on tourist activities in pennsylvania\'s pocono mountains.,take a tour
140,angular cheilitis,how do you treat severe angular cheilitis?,are you looking for symptoms of angular cheilitis,no im looking for treatments of angular cheilitis,no i am looking for general information on how to treat severe angular cheilitis,yes i am looking for severe angular cheilitis,yes i am looking for severe angular cheilitis,how do you treat severe angular cheilitis?,no i am looking for general information on how to treat severe angular cheilitis,no im looking for treatments of angular cheilitis
141,cass county missouri,"historical facts about cass county, missouri.",is there any specific information that you are looking for,i dont know,no i am looking for historical facts about cass county missouri,yes historical facts about cass county missouri,i dont know,"historical facts about cass county, missouri.",yes historical facts about cass county missouri,no i am looking for historical facts about cass county missouri
142,pacific northwest laboratory,who operates (manages) pnl?,are you referring to the lab in seattle,no,no i am referring to the pnl,no i want to know who operates pnl,no i am referring to the pnl,no i want to know who operates pnl,no,who operates (manages) pnl?
143,cheap internet,what are some low-cost broadband internet providers?,are you interested in finding cheap items on the internet,no i need information about internet providers,no i want to know what low cost broadband internet providers are,no i want to know about low cost broadband internet providers,no i need information about internet providers,no i want to know what low cost broadband internet providers are,what are some low-cost broadband internet providers?,no i want to know about low cost broadband internet providers
144,espn sports,i\'m looking for information on nascar races.,do you want information about espn sports programming in languages other than english,no,no i want information on nascar races,no i want information on nascar races,no,no i want information on nascar races,i\'m looking for information on nascar races.,no i want information on nascar races
145,cass county missouri,"what was the 2008 budget for cass county, mo?",is there any specific information that you are looking for,yes the 2008 budget for cass county mo,no i am looking for the budget for cass county,yes i want to know the budget for cass county mo,"what was the 2008 budget for cass county, mo?",yes the 2008 budget for cass county mo,no i am looking for the budget for cass county,yes i want to know the budget for cass county mo
146,von willebrand disease,what treatments exist for von willebrand disease?,do you want to know how von willebrand disease is treated,yes,no i want to know what treatments exist for von willebrand disease,yes i want to know what treatments exist for it,no i want to know what treatments exist for von willebrand disease,yes i want to know what treatments exist for it,yes,what treatments exist for von willebrand disease?
147,civil right movement,what was martin luther king jr\'s contribution to the us civil rights movement?,do you want to know about specific key people,yes martin luther king jr,no i want to know about martin luther king jrs contribution to the us civil rights movement,no i want to know martin luther king jrs contribution to the us civil rights movement,what was martin luther king jr\'s contribution to the us civil rights movement?,no i want to know about martin luther king jrs contribution to the us civil rights movement,yes martin luther king jr,no i want to know martin luther king jrs contribution to the us civil rights movement
148,vines for shade,information on vines that can be grown in shady areas,do you want to know how to plant a vine for shade,yes,no i want to know about vines that can be grown in shady areas,yes i want to know how to plant a vine for shade,yes,yes i want to know how to plant a vine for shade,no i want to know about vines that can be grown in shady areas,information on vines that can be grown in shady areas
149,how to build a fence,find information about building a wooden fence.,are you using this around the yard,yes,yes,no i want to know about building a wooden fence,yes,no i want to know about building a wooden fence,find information about building a wooden fence.,yes
150,pacific northwest laboratory,who operates (manages) pnl?,are you looking for jobs in richland,no,no i am looking for the owner of pnl,no i want to know who operates pnl,no i want to know who operates pnl,no i am looking for the owner of pnl,who operates (manages) pnl?,no
151,keyboard reviews,find reviews of computer keyboards.,are you needing wireless or wired keyboard reviews,i am interested in all keyboard reviews,no i need reviews of computer keyboards,i am looking for computer keyboard reviews,no i need reviews of computer keyboards,i am interested in all keyboard reviews,i am looking for computer keyboard reviews,find reviews of computer keyboards.
152,tn highway patrol,i want to fill in the customer satisfaction survey about my interaction with a tennessee highway patrol state trooper.,are you looking for a specific web site,no i want to fill out a survey about my interaction with a tennesse highway patrol trooper,no i want to fill in the customer satisfaction survey about my interaction with a tennessee highway patrol state trooper,no i am looking for a customer satisfaction survey,no i want to fill out a survey about my interaction with a tennesse highway patrol trooper,no i am looking for a customer satisfaction survey,i want to fill in the customer satisfaction survey about my interaction with a tennessee highway patrol state trooper.,no i want to fill in the customer satisfaction survey about my interaction with a tennessee highway patrol state trooper
153,flame designs,i\'m looking for good flame tattoo designs.,what kind of pictures are you looking for,i am looking for pictures with flame designs on them,i dont know,i am looking for flame tattoo designs,i\'m looking for good flame tattoo designs.,i am looking for flame tattoo designs,i dont know,i am looking for pictures with flame designs on them
154,gmat prep classes,what\'s the difference between the gre and the gmat?,are you looking for gmat prep classes near you,no,no i want to know the difference between the gre and the gmat,no i want to know what is the difference between the gre and gmat,no i want to know what is the difference between the gre and gmat,what\'s the difference between the gre and the gmat?,no,no i want to know the difference between the gre and the gmat
155,grilling,find kabob recipes.,are you looking for a grill for grilling food,no i want to grill kabobs,no i am looking for kabob recipes,no i am looking for kabob recipes,no i am looking for kabob recipes,no i want to grill kabobs,find kabob recipes.,no i am looking for kabob recipes
156,rick warren,i\'m looking for background and biographical information on rick warren.,do you need any specific information on obama inauguration,no i want information on rick warren including any backgound or biographical information,no i want to know about rick warren,yes i need background and biographical information on rick warren,i\'m looking for background and biographical information on rick warren.,no i want to know about rick warren,yes i need background and biographical information on rick warren,no i want information on rick warren including any backgound or biographical information
157,tornadoes,"find information about tornadoes, what causes them, and where they occur.",are there any specific media type on your mind shall i play a video of tornadoes,i dont know,no i want to know what causes them and where they occur,no i want to know what causes them and where they occur,no i want to know what causes them and where they occur,i dont know,no i want to know what causes them and where they occur,"find information about tornadoes, what causes them, and where they occur."
158,credit report,how do you dispute credit report information?,would you like to know about the process of disputing credit report,yes,no i want to know how to dispute credit report information,yes i would like to know how to do it,no i want to know how to dispute credit report information,how do you dispute credit report information?,yes,yes i would like to know how to do it
159,pork tenderloin,find recipes for pork tenderloin cooked in a crockpot.,how would you like to cook your pork tenderloin,i would like to cook my pork tenderloin in a crockpot,i would like to cook it in a crockpot,i want to cook it in a crockpot,find recipes for pork tenderloin cooked in a crockpot.,i would like to cook it in a crockpot,i want to cook it in a crockpot,i would like to cook my pork tenderloin in a crockpot
160,universal animal cuts reviews,"are animal cuts safe to use, and are they effective?",would you like to see the lowest reviews for universal animal cuts,yes,no i want to know if animal cuts are safe to use and effective,no i want to know if they are safe and effective,yes,no i want to know if they are safe and effective,"are animal cuts safe to use, and are they effective?",no i want to know if animal cuts are safe to use and effective
161,source of the nile,"how to play the board game \""source of the nile\""",are you referring to the nile river,no the board game called the source of the nile,no i am referring to the nile river,no i am referring to the nile river,no the board game called the source of the nile,"how to play the board game \""source of the nile\""",no i am referring to the nile river,no i am referring to the nile river
162,credit report,how do you dispute credit report information?,would you like to know about credit scores,can you tell me how to dispute information on a credit report,no i want to know how to dispute credit report information,yes i would like to know how to dispute credit report information,yes i would like to know how to dispute credit report information,no i want to know how to dispute credit report information,how do you dispute credit report information?,can you tell me how to dispute information on a credit report
163,cheap internet,what are some low-cost broadband internet providers?,how do you know if your internet service is inexpensive,i would like to know if my internet service is inexpensive,i dont know,no i want to know about low cost broadband internet providers,what are some low-cost broadband internet providers?,i dont know,no i want to know about low cost broadband internet providers,i would like to know if my internet service is inexpensive
164,forearm pain,find information about tendinitis in the forearms.,are you looking for treatments to forearm pain,i am looking for possible causes of forearm pain,no i am looking for information about tendinitis in the forearms,no i am looking for information on tendinitis in the forearms,find information about tendinitis in the forearms.,no i am looking for information about tendinitis in the forearms,no i am looking for information on tendinitis in the forearms,i am looking for possible causes of forearm pain
165,dog heat,"find information on dogs\' reproductive cycle. what does it mean when a dog is \""in heat\""?",do you need directions to your local vet,no what does it mean for a dog to be in heat,no i need information on dogs reproductive cycle,no i want to know about their reproductive cycle,"find information on dogs\' reproductive cycle. what does it mean when a dog is \""in heat\""?",no i need information on dogs reproductive cycle,no i want to know about their reproductive cycle,no what does it mean for a dog to be in heat
